code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Volte Pr.Blok www.cibulka.net;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Společ.proti výst.v Prok.údolí;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;OBČANÉ 2011-SPRAVEDL. PRO LIDI;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
539678;Praha-Slivenec;2524;1857;1844;355;1;0;68;4;0;249;53;17;14;3;40;3;1;291;0;0;0;248;305;0;3;58;1;20;5;1;102;2
547271;Praha-Suchdol;4635;3413;3393;510;3;1;147;4;4;434;145;83;12;0;64;1;3;537;0;0;1;414;655;0;0;165;2;28;5;2;166;7
539724;Praha-Šeberov;2145;1588;1581;343;1;1;53;0;0;61;58;19;3;1;34;2;1;252;1;0;2;218;341;3;3;57;1;23;8;4;86;5
547409;Praha-Štěrboholy;1 275;975;972;213;1;0;39;2;0;48;33;16;3;0;9;2;4;158;0;0;1;125;235;0;1;35;0;7;0;1;36;3
547328;Praha-Troja;889;699;693;138;0;0;25;1;1;66;16;17;1;1;10;3;0;94;1;0;0;135;107;0;0;47;0;6;2;0;22;0
539791;Praha-Újezd;2085;1583;1577;292;1;1;55;0;0;80;59;31;8;0;38;2;2;272;0;0;0;205;337;3;2;67;1;15;4;1;95;6
547115;Praha-Velká Chuchle;1746;1313;1304;260;0;0;51;1;0;77;52;28;2;3;19;0;1;213;0;1;0;209;243;0;3;49;0;5;1;3;82;1
539007;Praha-Vinoř;2945;2166;2158;337;8;4;107;1;2;201;85;35;8;1;40;2;2;318;1;0;0;204;486;1;1;138;1;11;2;2;154;6
539864;Praha-Zbraslav;7359;5210;5173;905;7;4;255;4;1;249;215;124;22;2;102;5;12;915;1;0;10;657;1045;4;2;263;1;63;8;2;280;15
539899;Praha-Zličín;4079;2826;2801;472;1;0;111;2;0;169;125;33;15;4;50;2;6;490;1;0;2;347;623;1;2;131;0;33;5;4;166;6
